Банк данных угроз безопасности информации;Угроза автоматического распространения вредоносного кода в грид-системе
Банк данных угроз безопасности информации;Угроза агрегирования данных, передаваемых в грид-системе
Банк данных угроз безопасности информации;Угроза анализа криптографических алгоритмов и их реализации
Банк данных угроз безопасности информации;Угроза аппаратного сброса пароля BIOS
Банк данных угроз безопасности информации;Угроза внедрения вредоносного кода в BIOS
Банк данных угроз безопасности информации;Угроза внедрения кода или данных
Банк данных угроз безопасности информации;Угроза воздействия на программы с высокими привилегиями
Банк данных угроз безопасности информации;Угроза восстановления аутентификационной информации
Банк данных угроз безопасности информации;Угроза восстановления предыдущей уязвимой версии BIOS
Банк данных угроз безопасности информации;Угроза выхода процесса за пределы виртуальной машины
Банк данных угроз безопасности информации;Угроза деавторизации санкционированного клиента беспроводной сети
Банк данных угроз безопасности информации;Угроза деструктивного изменения конфигурации/среды окружения программ
Банк данных угроз безопасности информации;Угроза деструктивного использования декларированного функционала BIOS
Банк данных угроз безопасности информации;Угроза длительного удержания вычислительных ресурсов пользователями
Банк данных угроз безопасности информации;Угроза доступа к защищаемым файлам с использованием обходного пути
Банк данных угроз безопасности информации;Угроза доступа к локальным файлам сервера при помощи URL
Банк данных угроз безопасности информации;Угроза доступа/перехвата/изменения HTTP cookies
Банк данных угроз безопасности информации;Угроза загрузки нештатной операционной системы
Банк данных угроз безопасности информации;Угроза заражения DNS-кеша
Банк данных угроз безопасности информации;Угроза злоупотребления возможностями, предоставленными потребителям облачных услуг
Банк данных угроз безопасности информации;Угроза злоупотребления доверием потребителей облачных услуг
Банк данных угроз безопасности информации;Угроза избыточного выделения оперативной памяти
Банк данных угроз безопасности информации;Угроза изменения компонентов системы
Банк данных угроз безопасности информации;Угроза изменения режимов работы аппаратных элементов компьютера
Банк данных угроз безопасности информации;Угроза изменения системных и глобальных переменных
Банк данных угроз безопасности информации;Угроза искажения XML-схемы
Банк данных угроз безопасности информации;Угроза искажения вводимой и выводимой на периферийные устройства информации
Банк данных угроз безопасности информации;Угроза использования альтернативных путей доступа к ресурсам
Банк данных угроз безопасности информации;Угроза использования вычислительных ресурсов суперкомпьютера «паразитными» процессами
Банк данных угроз безопасности информации;Угроза использования информации идентификации/аутентификации, заданной по умолчанию
Банк данных угроз безопасности информации;Угроза использования механизмов авторизации для повышения привилегий
Банк данных угроз безопасности информации;Угроза использования поддельных цифровых подписей BIOS
Банк данных угроз безопасности информации;Угроза использования слабостей кодирования входных данных
Банк данных угроз безопасности информации;Угроза использования слабостей протоколов сетевого/локального обмена данными
Банк данных угроз безопасности информации;Угроза использования слабых криптографических алгоритмов BIOS
Банк данных угроз безопасности информации;Угроза исследования механизмов работы программы
Банк данных угроз безопасности информации;Угроза исследования приложения через отчёты об ошибках
Банк данных угроз безопасности информации;Угроза исчерпания вычислительных ресурсов хранилища больших данных
Банк данных угроз безопасности информации;Угроза исчерпания запаса ключей, необходимых для обновления BIOS
Банк данных угроз безопасности информации;Угроза конфликта юрисдикций различных стран
Банк данных угроз безопасности информации;Угроза межсайтового скриптинга
Банк данных угроз безопасности информации;Угроза межсайтовой подделки запроса
Банк данных угроз безопасности информации;Угроза нарушения доступности облачного сервера
Банк данных угроз безопасности информации;Угроза нарушения изоляции пользовательских данных внутри виртуальной машины
Банк данных угроз безопасности информации;Угроза нарушения изоляции среды исполнения BIOS
Банк данных угроз безопасности информации;Угроза нарушения процедуры аутентификации субъектов виртуального информационного взаимодействия
Банк данных угроз безопасности информации;Угроза нарушения работоспособности грид-системы при нетипичной сетевой нагрузке
Банк данных угроз безопасности информации;Угроза нарушения технологии обработки информации путём несанкционированного внесения изменений в образы виртуальных машин
Банк данных угроз безопасности информации;Угроза нарушения целостности данных кеша
Банк данных угроз безопасности информации;Угроза неверного определения формата входных данных, поступающих в хранилище больших данных
Банк данных угроз безопасности информации;Угроза невозможности восстановления сессии работы на ПЭВМ при выводе из промежуточных состояний питания
Банк данных угроз безопасности информации;Угроза невозможности миграции образов виртуальных машин из-за несовместимости аппаратного и программного обеспечения
Банк данных угроз безопасности информации;Угроза невозможности управления правами пользователей BIOS
Банк данных угроз безопасности информации;Угроза недобросовестного исполнения обязательств поставщиками облачных услуг
Банк данных угроз безопасности информации;Угроза незащищённого администрирования облачных услуг
Банк данных угроз безопасности информации;Угроза некачественного переноса инфраструктуры в облако
Банк данных угроз безопасности информации;Угроза неконтролируемого копирования данных внутри хранилища больших данных
Банк данных угроз безопасности информации;Угроза неконтролируемого роста числа виртуальных машин
Банк данных угроз безопасности информации;Угроза неконтролируемого роста числа зарезервированных вычислительных ресурсов
Банк данных угроз безопасности информации;Угроза неконтролируемого уничтожения информации хранилищем больших данных
Банк данных угроз безопасности информации;Угроза некорректного задания структуры данных транзакции
Банк данных угроз безопасности информации;Угроза некорректного использования прозрачного прокси-сервера за счёт плагинов браузера
Банк данных угроз безопасности информации;Угроза некорректного использования функционала программного обеспечения
Банк данных угроз безопасности информации;Угроза некорректной реализации политики лицензирования в облаке
Банк данных угроз безопасности информации;Угроза неопределённости в распределении ответственности между ролями в облаке
Банк данных угроз безопасности информации;Угроза неопределённости ответственности за обеспечение безопасности облака
Банк данных угроз безопасности информации;Угроза неправомерного ознакомления с защищаемой информацией
Банк данных угроз безопасности информации;Угроза неправомерного/некорректного использования интерфейса взаимодействия с приложением
Банк данных угроз безопасности информации;Угроза неправомерных действий в каналах связи
Банк данных угроз безопасности информации;Угроза непрерывной модернизации облачной инфраструктуры
Банк данных угроз безопасности информации;Угроза несанкционированного восстановления удалённой защищаемой информации
Банк данных угроз безопасности информации;Угроза несанкционированного выключения или обхода механизма защиты от записи в BIOS
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к активному и (или) пассивному виртуальному и (или) физическому сетевому оборудованию из физической и (или) виртуальной сети
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к аутентификационной информации
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к виртуальным каналам передачи
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к гипервизору из виртуальной машины и (или) физической сети
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к данным за пределами зарезервированного адресного пространства, в том числе выделенного под виртуальное аппаратное обеспечение
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к защищаемым виртуальным машинам из виртуальной и (или) физической сети
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к защищаемым виртуальным машинам со стороны других виртуальных машин
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к защищаемым виртуальным устройствам из виртуальной и (или) физической сети
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к локальному компьютеру через клиента грид-системы
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к сегментам вычислительного поля
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к системе по беспроводным каналам
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к системе хранения данных из виртуальной и (или) физической сети
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к хранимой в виртуальном пространстве защищаемой информации
Банк данных угроз безопасности информации;Угроза несанкционированного изменения аутентификационной информации
Банк данных угроз безопасности информации;Угроза несанкционированного использования привилегированных функций BIOS
Банк данных угроз безопасности информации;Угроза несанкционированного копирования защищаемой информации
Банк данных угроз безопасности информации;Угроза несанкционированного редактирования реестра
Банк данных угроз безопасности информации;Угроза несанкционированного создания учётной записи пользователя
Банк данных угроз безопасности информации;Угроза несанкционированного удаления защищаемой информации
Банк данных угроз безопасности информации;Угроза несанкционированного удалённого внеполосного доступа к аппаратным средствам
Банк данных угроз безопасности информации;Угроза несанкционированного управления буфером
Банк данных угроз безопасности информации;Угроза несанкционированного управления синхронизацией и состоянием
Банк данных угроз безопасности информации;Угроза несанкционированного управления указателями
Банк данных угроз безопасности информации;Угроза несогласованности политик безопасности элементов облачной инфраструктуры
Банк данных угроз безопасности информации;Угроза несогласованности правил доступа к большим данным
Банк данных угроз безопасности информации;Угроза обнаружения открытых портов и идентификации привязанных к нему сетевых служб
Банк данных угроз безопасности информации;Угроза обнаружения хостов
Банк данных угроз безопасности информации;Угроза обхода некорректно настроенных механизмов аутентификации
Банк данных угроз безопасности информации;Угроза общедоступности облачной инфраструктуры
Банк данных угроз безопасности информации;Угроза опосредованного управления группой программ через совместно используемые данные
Банк данных угроз безопасности информации;Угроза определения типов объектов защиты
Банк данных угроз безопасности информации;Угроза определения топологии вычислительной сети
Банк данных угроз безопасности информации;Угроза отказа в загрузке входных данных неизвестного формата хранилищем больших данных
Банк данных угроз безопасности информации;Угроза отказа в обслуживании системой хранения данных суперкомпьютера
Банк данных угроз безопасности информации;Угроза отключения контрольных датчиков
Банк данных угроз безопасности информации;Угроза ошибки обновления гипервизора
Банк данных угроз безопасности информации;Угроза перебора всех настроек и параметров приложения
Банк данных угроз безопасности информации;Угроза перегрузки грид-системы вычислительными заданиями
Банк данных угроз безопасности информации;Угроза передачи данных по скрытым каналам
Банк данных угроз безопасности информации;Угроза передачи запрещённых команд на оборудование с числовым программным управлением
Банк данных угроз безопасности информации;Угроза перезагрузки аппаратных и программно-аппаратных средств вычислительной техники
Банк данных угроз безопасности информации;Угроза переполнения целочисленных переменных
Банк данных угроз безопасности информации;Угроза перехвата вводимой и выводимой на периферийные устройства информации
Банк данных угроз безопасности информации;Угроза перехвата данных, передаваемых по вычислительной сети
Банк данных угроз безопасности информации;Угроза перехвата привилегированного потока
Банк данных угроз безопасности информации;Угроза перехвата привилегированного процесса
Банк данных угроз безопасности информации;Угроза перехвата управления гипервизором
Банк данных угроз безопасности информации;Угроза перехвата управления средой виртуализации
Банк данных угроз безопасности информации;Угроза повреждения системного реестра
Банк данных угроз безопасности информации;Угроза повышения привилегий
Банк данных угроз безопасности информации;Угроза подбора пароля BIOS
Банк данных угроз безопасности информации;Угроза подделки записей журнала регистрации событий
Банк данных угроз безопасности информации;Угроза подключения к беспроводной сети в обход процедуры аутентификации
Банк данных угроз безопасности информации;Угроза подмены беспроводного клиента или точки доступа
Банк данных угроз безопасности информации;Угроза подмены действия пользователя путём обмана
Банк данных угроз безопасности информации;Угроза подмены доверенного пользователя
Банк данных угроз безопасности информации;Угроза подмены резервной копии программного обеспечения BIOS
Банк данных угроз безопасности информации;Угроза подмены содержимого сетевых ресурсов
Банк данных угроз безопасности информации;Угроза подмены субъекта сетевого доступа
Банк данных угроз безопасности информации;Угроза получения предварительной информации об объекте защиты
Банк данных угроз безопасности информации;Угроза получения сведений о владельце беспроводного устройства
Банк данных угроз безопасности информации;Угроза потери доверия к поставщику облачных услуг
Банк данных угроз безопасности информации;Угроза потери и утечки данных, обрабатываемых в облаке
Банк данных угроз безопасности информации;Угроза потери информации вследствие несогласованности работы узлов хранилища больших данных
Банк данных угроз безопасности информации;Угроза потери управления облачными ресурсами
Банк данных угроз безопасности информации;Угроза потери управления собственной инфраструктурой при переносе её в облако
Банк данных угроз безопасности информации;Угроза преодоления физической защиты
Банк данных угроз безопасности информации;Угроза приведения системы в состояние «отказ в обслуживании»
Банк данных угроз безопасности информации;Угроза привязки к поставщику облачных услуг
Банк данных угроз безопасности информации;Угроза приостановки оказания облачных услуг вследствие технических сбоев
Банк данных угроз безопасности информации;Угроза программного выведения из строя средств хранения, обработки и (или) ввода/вывода/передачи информации
Банк данных угроз безопасности информации;Угроза программного сброса пароля BIOS
Банк данных угроз безопасности информации;Угроза пропуска проверки целостности программного обеспечения
Банк данных угроз безопасности информации;Угроза прямого обращения к памяти вычислительного поля суперкомпьютера
Банк данных угроз безопасности информации;Угроза распространения несанкционированно повышенных прав на всю грид-систему
Банк данных угроз безопасности информации;Угроза сбоя автоматического управления системой разграничения доступа хранилища больших данных
Банк данных угроз безопасности информации;Угроза сбоя обработки специальным образом изменённых файлов
Банк данных угроз безопасности информации;Угроза сбоя процесса обновления BIOS
Банк данных угроз безопасности информации;Угроза сканирования веб-сервисов, разработанных на основе языка описания WSDL
Банк данных угроз безопасности информации;Угроза удаления аутентификационной информации
Банк данных угроз безопасности информации;Угроза усиления воздействия на вычислительные ресурсы пользователей при помощи сторонних серверов
Банк данных угроз безопасности информации;Угроза установки уязвимых версий обновления программного обеспечения BIOS
Банк данных угроз безопасности информации;Угроза утраты вычислительных ресурсов
Банк данных угроз безопасности информации;Угроза утраты носителей информации
Банк данных угроз безопасности информации;Угроза физического выведения из строя средств хранения, обработки и (или) ввода/вывода/передачи информации
Банк данных угроз безопасности информации;Угроза форматирования носителей информации
Банк данных угроз безопасности информации;Угроза «форсированного веб-браузинга»
Банк данных угроз безопасности информации;Угроза хищения средств хранения, обработки и (или) ввода/вывода/передачи информации
Банк данных угроз безопасности информации;Угроза чрезмерного использования вычислительных ресурсов суперкомпьютера в ходе интенсивного обмена межпроцессорными сообщениями
Банк данных угроз безопасности информации;Угроза эксплуатации цифровой подписи программного кода
Банк данных угроз безопасности информации;Угроза перехвата исключения/сигнала из привилегированного блока функций
Банк данных угроз безопасности информации;Угроза распространения состояния «отказ в обслуживании» в облачной инфраструктуре
Банк данных угроз безопасности информации;Угроза включения в проект не достоверно испытанных компонентов
Банк данных угроз безопасности информации;Угроза внедрения системной избыточности
Банк данных угроз безопасности информации;Угроза заражения компьютера при посещении неблагонадёжных сайтов
Банк данных угроз безопасности информации;Угроза «кражи» учётной записи доступа к сетевым сервисам
Банк данных угроз безопасности информации;Угроза наличия механизмов разработчика
Банк данных угроз безопасности информации;Угроза неправомерного шифрования информации
Банк данных угроз безопасности информации;Угроза скрытного включения вычислительного устройства в состав бот-сети
Банк данных угроз безопасности информации;Угроза распространения «почтовых червей»
Банк данных угроз безопасности информации;Угроза «спама» веб-сервера
Банк данных угроз безопасности информации;Угроза «фарминга»
Банк данных угроз безопасности информации;Угроза «фишинга»
Банк данных угроз безопасности информации;Угроза нарушения технологического/производственного процесса из-за временны́х задержек, вносимых средством защиты
Банк данных угроз безопасности информации;Угроза неподтверждённого ввода данных оператором в систему, связанную с безопасностью
Банк данных угроз безопасности информации;Угроза несанкционированного использования системных и сетевых утилит
Банк данных угроз безопасности информации;Угроза несанкционированной модификации защищаемой информации
Банк данных угроз безопасности информации;Угроза отказа подсистемы обеспечения температурного режима
Банк данных угроз безопасности информации;Угроза перехвата одноразовых паролей в режиме реального времени
Банк данных угроз безопасности информации;Угроза физического устаревания аппаратных компонентов
Банк данных угроз безопасности информации;Угроза перехвата управления автоматизированной системой управления технологическими процессами
Банк данных угроз безопасности информации;Угроза агрегирования данных, обрабатываемых с помощью мобильного устройства
Банк данных угроз безопасности информации;Угроза несанкционированного изменения параметров настройки средств защиты информации
Банк данных угроз безопасности информации;Угроза внедрения вредоносного кода через рекламу, сервисы и контент
Банк данных угроз безопасности информации;Угроза несанкционированного воздействия на средство защиты информации
Банк данных угроз безопасности информации;Угроза подмены программного обеспечения
Банк данных угроз безопасности информации;Угроза маскирования действий вредоносного кода
Банк данных угроз безопасности информации;Угроза внедрения вредоносного кода за счет посещения зараженных сайтов в сети Интернет
Банк данных угроз безопасности информации;Угроза внедрения вредоносного кода в дистрибутив программного обеспечения
Банк данных угроз безопасности информации;Угроза использования уязвимых версий программного обеспечения
Банк данных угроз безопасности информации;Угроза утечки информации за счет применения вредоносным программным обеспечением алгоритмов шифрования трафика
Банк данных угроз безопасности информации;Угроза несанкционированного использования привилегированных функций мобильного устройства
Банк данных угроз безопасности информации;Угроза удаленного запуска вредоносного кода в обход механизмов защиты операционной системы
Банк данных угроз безопасности информации;Угроза контроля вредоносной программой списка приложений, запущенных на мобильном устройстве
Банк данных угроз безопасности информации;Угроза хищения аутентификационной информации из временных файлов cookie
Банк данных угроз безопасности информации;Угроза скрытной регистрации вредоносной программой учетных записей администраторов
Банк данных угроз безопасности информации;Угроза перехвата управления мобильного устройства при использовании виртуальных голосовых ассистентов
Банк данных угроз безопасности информации;Угроза хищения информации с мобильного устройства при использовании виртуальных голосовых ассистентов
Банк данных угроз безопасности информации;Угроза утечки пользовательских данных при использовании функций автоматического заполнения аутентификационной информации в браузере
Банк данных угроз безопасности информации;Угроза несанкционированной установки приложений на мобильные устройства
Банк данных угроз безопасности информации;Угроза утечки информации с неподключенных к сети Интернет компьютеров
Банк данных угроз безопасности информации;Угроза несанкционированного изменения вредоносной программой значений параметров программируемых логических контроллеров
Банк данных угроз безопасности информации;Угроза нарушения работы компьютера и блокирования доступа к его данным из-за некорректной работы установленных на нем средств защиты
Банк данных угроз безопасности информации;Угроза отказа в работе оборудования из-за изменения геолокационной информации о нем
Банк данных угроз безопасности информации;Угроза несанкционированного доступа к параметрам настройки оборудования за счет использования «мастер-кодов» (инженерных паролей)
